hhid,id2,rule_name,detail
10 0144 060 0,3,monetary_outlier_q6_05c,"q6_05c=100000.0 outside IQR bounds [-15000, 33000]"
03 0142 203 0,1,monetary_outlier_q6_05d,"q6_05d=50000.0 outside IQR bounds [-21000, 44600]"
03 0334 017 0,1,monetary_outlier_q6_05d,"q6_05d=100000.0 outside IQR bounds [-21000, 44600]"
04 0514 059 6,1,monetary_outlier_q6_05d,"q6_05d=56000.0 outside IQR bounds [-21000, 44600]"
04 0740 044 7,1,monetary_outlier_q6_05d,"q6_05d=60000.0 outside IQR bounds [-21000, 44600]"
05 0067 039 1,1,monetary_outlier_q6_05d,"q6_05d=96000.0 outside IQR bounds [-21000, 44600]"
06 0005 036 5,1,monetary_outlier_q6_05d,"q6_05d=50000.0 outside IQR bounds [-21000, 44600]"
08 0019 322 1,1,monetary_outlier_q6_05d,"q6_05d=250000.0 outside IQR bounds [-21000, 44600]"
10 0015 202 4,1,monetary_outlier_q6_05d,"q6_05d=100000.0 outside IQR bounds [-21000, 44600]"
06 0229 014 3,4,monetary_outlier_q6_05e,"q6_05e=30000.0 outside IQR bounds [-13000, 25000]"
03 0083 093 5,4,monetary_outlier_q6_05h,"q6_05h=20000.0 outside IQR bounds [-6500, 13500]"
03 0261 182 4,2,monetary_outlier_q6_05h,"q6_05h=70000.0 outside IQR bounds [-6500, 13500]"
03 0396 080 5,1,monetary_outlier_q6_05h,"q6_05h=20000.0 outside IQR bounds [-6500, 13500]"
03 0447 010 2,2,monetary_outlier_q6_05h,"q6_05h=15000.0 outside IQR bounds [-6500, 13500]"
03 0479 087 3,1,monetary_outlier_q6_05h,"q6_05h=42000.0 outside IQR bounds [-6500, 13500]"
